6,24,8,12,0,28,4,1,40,1,32,0,1,0,0
5,30,8,15,9,26,4,2,60,1,32,0,0,0,1
5,30,8,15,11,26,4,1,36,1,32,0,0,1,0
5,30,8,15,16,26,4,1,36,1,32,0,0,1,0
5,30,8,15,20,26,4,1,36,1,32,0,0,1,0
5,30,8,20,55,18,0,2,64,3,31,0,0,1,0
5,30,8,20,58,18,0,2,64,3,31,0,0,1,0
5,30,8,21,1,18,0,2,64,3,31,0,0,1,0
5,30,8,21,4,18,0,2,64,3,31,0,0,1,0
5,30,8,21,7,18,0,2,64,3,31,0,0,1,0
5,30,8,21,10,18,0,2,64,3,31,0,0,1,0
5,30,8,21,13,18,0,2,64,3,31,0,0,1,0
5,30,8,21,16,18,0,2,64,3,31,0,0,1,0
5,30,8,21,19,18,0,2,64,3,31,0,0,1,0
5,30,8,21,22,18,0,2,64,3,31,0,0,1,0
5,30,8,21,26,18,0,2,64,3,31,0,0,1,0
5,30,8,21,29,18,0,2,64,3,31,0,0,1,0
5,30,8,21,32,18,0,2,64,3,31,0,0,1,0
5,30,8,21,35,18,0,2,64,3,31,0,0,1,0
5,30,8,21,39,18,5,2,64,3,31,0,0,1,0
5,30,8,21,42,18,5,2,64,3,31,0,0,1,0
5,30,8,21,45,18,5,2,64,3,31,0,0,1,0
5,30,8,21,48,18,5,2,64,3,31,0,0,1,0
5,30,8,21,51,18,5,2,64,3,31,0,0,1,0
5,30,8,21,55,18,5,2,64,3,31,0,0,0,1
5,30,8,21,58,18,5,2,64,3,31,0,0,0,1
5,30,8,22,1,18,5,2,64,3,31,0,0,0,1
5,30,8,22,4,18,5,2,64,3,31,0,0,0,1
5,30,8,22,7,18,5,2,64,3,31,0,0,0,1
5,30,8,22,10,18,5,2,64,3,31,0,0,0,1
5,30,8,22,13,18,5,2,64,3,31,0,0,0,1
5,30,8,22,16,18,5,2,64,3,31,0,0,0,1
5,30,8,22,20,18,5,2,64,3,31,0,0,0,1
5,30,8,22,23,18,5,2,64,3,31,0,0,0,1
5,30,8,22,26,18,5,2,64,3,31,0,0,0,1
5,30,8,22,29,18,5,2,64,3,31,0,0,0,1
5,30,8,22,32,18,5,2,64,3,31,0,0,0,1
5,30,8,22,35,18,5,2,64,3,31,0,0,0,1
5,30,8,22,38,18,5,2,64,3,31,0,0,0,1
6,31,8,7,34,16,5,1,68,1,31,0,0,0,1
6,31,8,7,37,16,5,1,68,1,31,0,0,0,1
6,31,8,7,40,17,4,1,61,1,32,0,0,0,1
6,31,8,7,43,17,4,1,61,1,32,0,0,0,1
6,31,8,7,46,17,4,1,61,1,32,0,0,0,1
6,31,8,7,49,17,4,1,61,1,32,0,0,0,1
6,31,8,7,52,17,4,1,61,1,32,0,0,1,0
6,31,8,7,55,17,4,1,61,1,32,0,0,1,0
6,31,8,7,59,17,4,1,61,1,32,0,0,0,1
6,31,8,8,2,17,4,1,61,1,32,0,0,0,1
6,31,8,11,54,26,4,1,33,1,32,0,0,0,1
6,31,8,11,57,26,4,1,33,1,32,0,0,0,1
6,31,8,12,0,26,4,1,33,1,32,0,0,0,1
6,31,8,12,3,26,4,1,33,1,32,0,0,0,1
6,31,8,12,6,26,4,1,33,1,32,0,0,0,1
6,31,8,12,9,26,4,1,33,1,32,0,0,0,1
6,31,8,12,12,26,4,1,33,1,32,0,0,0,1
6,31,8,12,15,26,4,1,33,1,32,0,0,0,1
6,31,8,12,18,26,4,1,33,1,32,0,0,0,1
6,31,8,12,21,26,4,1,33,1,32,0,0,1,0
6,31,8,12,24,26,4,1,33,1,32,0,0,1,0
6,31,8,12,27,26,4,1,33,1,32,0,0,1,0
6,31,8,12,30,26,4,1,33,1,32,0,0,1,0
6,31,8,12,34,26,4,1,33,1,32,0,0,1,0
6,31,8,12,37,26,4,1,33,1,32,0,0,1,0
6,31,8,12,41,26,4,1,33,1,32,0,0,1,0
6,31,8,12,44,27,4,1,30,1,32,0,0,1,0
6,31,8,12,47,27,4,1,30,1,32,0,0,1,0
6,31,8,12,51,27,4,1,30,1,32,0,0,1,0
6,31,8,12,54,27,4,1,30,1,32,0,0,1,0
6,31,8,12,57,27,4,1,30,1,32,0,0,1,0
6,31,8,13,0,27,4,1,30,1,32,0,0,1,0
6,31,8,13,20,27,4,1,30,1,32,0,0,1,0
6,31,8,13,23,27,4,1,30,1,32,0,0,1,0
6,31,8,13,26,27,4,1,30,1,32,0,0,1,0
6,31,8,13,29,27,4,1,30,1,32,0,0,1,0
6,31,8,13,32,27,4,1,30,1,32,0,0,1,0
6,31,8,13,35,27,4,1,30,1,32,0,0,1,0
6,31,8,13,40,27,4,1,30,1,32,0,0,1,0
6,31,8,13,48,28,4,1,30,1,32,0,0,1,0
6,31,8,13,54,28,4,1,30,1,32,0,0,1,0
6,31,8,13,57,28,4,1,30,1,32,0,0,1,0
6,31,8,14,0,28,4,1,30,1,32,0,0,1,0
6,31,8,14,3,28,4,1,30,1,32,0,0,1,0
6,31,8,14,6,28,4,1,30,1,32,0,0,1,0
6,31,8,14,9,28,4,1,30,1,32,0,0,1,0
6,31,8,14,12,28,4,1,30,1,32,0,0,1,0
6,31,8,14,15,28,4,1,30,1,32,0,0,1,0
6,31,8,14,18,28,4,1,30,1,32,0,0,1,0
6,31,8,14,21,28,4,1,30,1,32,0,0,1,0
6,31,8,14,25,28,4,1,30,1,32,0,0,1,0
6,31,8,14,28,28,4,1,30,1,32,0,0,1,0
6,31,8,14,31,28,4,1,30,1,32,0,1,0,0
6,31,8,14,34,28,4,1,30,1,32,0,0,1,0
